,Tweets
182,"@POTUS Sure Joe continue paying billions into the Paris Climate Agreement and forgetting needy Americans in a time of Covid, high unemployment, school closings, Americans losing their homes, utilities being shut down, and school age children suffering depression...Great job Joe!"
183,"""If Global Warming is REAL and such a big deal - how come it's SO DAMN COLD?""

Trump, probably.

#WinterStorm #Midwest #Weather #GreenNewDeal #ParisClimateAgreement"
184,Welcome Back? U.S. Officially Back to Paying for Other Countries' Emissions in Paris Climate Agreement | MRCTV https://t.co/YwRPhANCio
185,US officially re-joins Paris climate agreement overturning Donald Trump's decision to exit https://t.co/u1DNdXsiYb
186,"President Trump was right.  
president potato?  not so much.

U.S. rejoins Paris climate agreement. Now comes the daunting part. https://t.co/0gbYk2hzXI via @YahooNews"
187,The U.S. rejoining the Paris Climate Agreement #ParisClimateAgreement https://t.co/u8TJnY9jjE
188,@POTUS Has anyone broken the news to #Pittsburgh yet? #ParisClimateAgreement #Paris
189,"Today, we:
• Rejoined the Paris Climate Agreement
• Promoted international cooperation at @G7 and @MunSecConf
• Toured @pfizer's plant and levelled with the American people on how we can, and will, beat this pandemic

It was a good day at the @WhiteHouse. https://t.co/nFiVHOEDlS"
190,"In 2020, the average global temperature was 0.98 °C (1.76 °F) above the 20th century average. It was also 0.02 °C (0.04 °F) below 2016, the warmest year on record. 

https://t.co/9Tiop74Frr

#ParisClimateAgreement #usafacts https://t.co/obGuvPbc0U"
191,J stopping in and saying hello to the Paris Climate Agreement.  We’re back
192,The Paris Climate Agreement won't change the climate. 👍
193,"@RepBoebert Before she goes making these pronouncements let's have Lauren Boebert explain both The Green New Deal and The Paris Climate Agreement (in layman's terms is fine). Only then will she be qualified to pass judgement on them. 

She should also read/learn the U.S. Constitution."
194,"Governor Phil Scott today joined a bipartisan group governors in the US Climate Alliance(link is external)
 to applaud the decision to rejoin the Paris Climate Agreement, while highlighting(link is external)
 the work Vermont is do…https://t.co/ajVqlC7WXW https://t.co/JMOycdUIRa"
195,"GOOD NEWS: The U.S. has officially rejoined the Paris Climate Agreement.

This in important step toward saving our planet🌏and protecting every child's right to a sustainable future.

@POTUS @7NewsAustralia #ClimateAction #auspol 
https://t.co/oAIZCwb0Vd"
196,When is the #Senate vote to ratify this treaty? #ParisClimateAgreement #BadDeal https://t.co/Y93COigAXo
197,"@RepSwalwell @POTUS #ParisClimateAgreement

The last four years may HAVE caused irreparable damage!

We really need to halt ALL NON GREEN Manufacturing until they comply!

Current atlantic ocean 🌊
Storm systems are getting much larger and more impactful.
This needs addressed 🙏🙏🙏 https://t.co/1FO4sx5qPR"
198,"On the very same day that the U.S. re-joins the Paris Climate Agreement, we're delighted to share actor Jamie Scott Gordon's interview with Bayview Entertainment about working on our feature length eco-drama, ""Good Intentions"" #ParisAgreement #ParisClimateAccord #COP26 https://t.co/D8nAv0QSDq"
199,The US has officially rejoined the Paris climate agreement. Here's what that means https://t.co/7XiW9EVUoM https://t.co/yD6CQasoo2
200,The US officially rejoined the Paris Climate Agreement today. Many scientists believe it will take even more drastic measures to fight climate change. https://t.co/HqGAeDAQS6
201,"Today is a very important for USA because they are part of the Paris Climate Agreement. Fortunately, Italy has accepted them and I believe it is respecting them. https://t.co/uJOHK1m9Br"
202,@POTUS broke the law by entering us back into a #ParisClimateAgreement.  It is a treaty and there is a process to enter treaties.  He did not follow that process.  #Impeach46
203,"On the very same day that the U.S. re-joins the Paris Climate Agreement, we're delighted to share actor Jamie Scott Gordon's interview with Bayview Entertainment about working on our feature length eco-drama, ""Good Intentions"" #ParisAgreement #ParisClimateAccord #COP26 https://t.co/TUU6dqjdU9"
204,"Today, America is officially back in the Paris Climate Agreement and I'm back in your mom. Let’s get to work."
205,The U.S. officially rejoined the Paris Climate Agreement today https://t.co/j5tQBFLd30
206,"Biden reenters Paris climate agreement, reversing Trump without Senate ratification | Climate Depot https://t.co/eiCM8E5AxK"
207,U.S. Special Presidential Envoy for Climate John Kerry marks the U.S. rejoining the Paris Climate Agreement: “I think we have to end the word climate change and own up to the fact that it’s the climate crisis now.” https://t.co/zvZ2fmrrb5
208,"🇺🇸🌍 #PresidentBiden made good on his promise to rejoin the #ParisClimateagreement. As of today, #America has officially rejoined, once again leading and working together with other nations in the effort to tackle #climatechange. #parisagreement #greennewdeal #demsabroadcanada https://t.co/S8Dq71nbEl"
209,@POTUS The World is seeing record levels for recent history of carbon despite the US being in the Paris Climate Agreement. It's time for more drastic measures.
210,"🇺🇸🌍 #PresidentBiden made good on his promise to rejoin the #ParisClimateagreement. As of today, #America has officially rejoined, once again leading and working together with other nations in the effort to tackle #climatechange. #parisagreement🌱🌍 #greennewdeal #demsabroad https://t.co/g8AKGrpSCM"
211,"🇳🇴 Prime Minister @erna_solberg is looking forward to engaging with US Special Envoy for #Climate @JohnKerry &amp; all other #UNSC members at next Tuesday’s Open Debate on Climate &amp; Security organized by Council President @UKUN_NewYork

#ParisClimateAgreement
#TogetherForOurPlanet https://t.co/AecfNLM4wc"
212,"🙌 Today #USA officially rejoined the #ParisClimateAgreement

At @UNAUSA’s Global Engagement Summit, #Norway 🇳🇴 joined #UNSG @antonioguterres &amp; US Special Presidential Envoy for #Climate @JohnKerry in celebrating this important moment and in looking forward to #COP26 in #Glasgow https://t.co/aYMbPcLdUd"
213,U.S. Special Presidential Envoy for Climate John Kerry marks the U.S. rejoining the Paris Climate Agreement: “I think we have to end the word climate change and own up to the fact that it’s the climate crisis now.” https://t.co/NpxnISuJpZ
214,"The United States is back in the Paris Climate Agreement! There's no time to waste — to leave a stable climate to kids growing up today, we need to accelerate our climate action. #ActOnClimate https://t.co/CyFUIr3AqI https://t.co/qLAZdt8uUK"
215,"So, did Trump seek Senate approval when he withdrew from the Paris climate agreement? 🤔

https://t.co/BnlJN73Dt7 - @washtimes"
216,"Guess who rejoins the Paris climate agreement today? We do! Fight for climate justice, science, and innovation. Help us register more Democrats! #RegisterDemocrats #Voterizer https://t.co/FfENdz81b4"
217,"Today, the US officially re-entered the Paris Climate Agreement.

WATCH as @KatyTurNBC and @mollymhunter discuss what comes next and what the U.S. must do to re-establish global climate credibility: https://t.co/8b3Q4dWrXW"
218,"On the very same day that the U.S. re-joins the Paris Climate Agreement, I'm delighted to share actor Jamie Scott Gordon's interview with Bayview Entertainment about working on our feature length eco-drama, ""Good Intentions"" #ParisAgreement #ParisClimateAccord #COP26 https://t.co/Dx8w5B9CSs"
219,It's a good day for climate commitments! Rejoining the #ParisClimateAgreement is an important step toward mitigating #climatechange. Thanks to @GovPhilScott for this showing of climate leadership and support from our headquarter state. https://t.co/tENnHMxeTn
220,@SMahmoodKazmi @POTUS What does Paris climate agreement have to do with science?
221,"#Republicans Claim Re-Joining #ParisClimateAgreement Will Cost Americans Jobs》
TEDDY BEAR #tedcruz Said 》""The Agreement Will Do Little To Affect The Climate &amp; Will Harm The Livelihoods Of Americans.""
Economists Say Otherwise 》I BELIEVE THE ECONOMISTS👍 https://t.co/jRgEFqg53W"
222,"‘HADİ ÇALIŞALIM’ DİYEREK DUYURDU!

BAŞKAN BIDEN RESMEN AÇIKLADI!

ABD Paris İklim Anlaşmasına Yeniden Katıldı! https://t.co/aUcDeRluhy

#ParisClimateAgreement #JoeBiden  #ABD #Paris #sosyalmedya #gündem"
223,"We are so grateful for our nation’s commitment to the #ParisClimateAgreement to help set the trajectory to a vibrant, climate-resilient future for all! #NevClimateAction https://t.co/8yppTYXmTT"
224,Meanwhile @netanyahu threatens the US to avoid forming a relationship with Iran and making a deal. #Biden not only is tearing the country to pieces but he has the media to cover everything up for him. #Iran #CuomoCoverup #germantroops #ParisClimateAgreement #2000stimuluscheck ? https://t.co/T9yc2wVoqu
225,#ClimateActionNow #Nature #NoPlanetB #Conservation #NatureNow #ParisClimateAgreement https://t.co/CHeQ5nAwZX
226,"As of today, the United States is officially back in the Paris Climate Agreement. This is a monumental step in the fight against the climate crisis and puts us back on a path towards a clean energy future.
https://t.co/AoKhkl30tn"
227,The United States has officially rejoined the Paris climate agreement. https://t.co/G61xYVQXGL
228,"@POTUS En......van dit moment is #America weer terug in het #ParisClimateAgreement  

#JoeBiden heeft het zojuist officieel bevestigd‼️🍾🥂

Hopelijk krijgt hij geen #burnout van het terugdraaien van alle rampzalige beslissingen van #Trump https://t.co/tzX1Tp1ImS"
229,#ParisClimateAgreement #ParisClimateAccord #ParisAgreement https://t.co/T4SVjNwyCy https://t.co/n0i4RZ6YP2
230,@kennethgootz More great news to go with #ParisClimateAgreement
231,"Yet another shitty decision @JoeBiden . Gas has risen .50 cents since he's taken office, $4 /gal by summer America are you ready!! #DemocratsHateAmerica #LiberalHypocrisy  U.S. rejoins Paris climate agreement. Now comes the daunting part. https://t.co/jpCC2WYuof via @Yahoo"
232,"US officially re-joins Paris climate agreement overturning Donald Trump's decision to exit #climarebreakdown 
https://t.co/kOFbekJDEv"
233,"We've already blown past the warming targets set by the Paris climate agreement, study finds @LiveScience #planet #ParisClimateAgreement #science #environment  https://t.co/TzZT2wGQkc"
234,U.S. rejoins Paris climate agreement. Now comes the daunting part. https://t.co/n3xVjfC3C7 via @Yahoo
235,"🗞️ The US is back in the #ParisClimateAgreement. It was one of the first #executiveorders #USPresident #JoeBiden signed when he became president, but as of today it is official.

https://t.co/AYkn4l7jzm"
236,"YES YOU DID IT @POTUS @JoeBiden !
Thank you for 🌍, 
Thank you for the world.
Welcome back USA!
#ClimateAction 
#ParisClimateAgreement
#AccordDeParis https://t.co/5FDFrmH1Lt"
237,"President Bin: Today, America is officially back in the Paris Climate Agreement. Let’s get to work. https://t.co/w0UtdoZyD7"
238,"WE'RE BACK!!!!! Hooray, hooray, hooray!!!
#ParisClimateAgreement https://t.co/RTxbJa3otf"
239,It is official: #US back in the Paris climate club https://t.co/HjMhlJPyGC #ParisClimateAgreement
240,Since we are back in the Paris Climate Agreement I think it is a good time to remember we aren't killing the Earth with these deadly Co2 emissions. The Earth is a rock floating through space what we are killing is ourselves and the other amazing creatures that call this rock home
241,"And from this moment on, #America is back in the #ParisClimateAgreement again.

Meanwhile at #Trump 's Golfresort ⛳️🛺🐊 https://t.co/G1miYeZYTT https://t.co/0mqKXVEQWK"
242,"The United States has officially re-entered the Paris climate agreement, with US President Joe Biden describing climate change as a “global existential crisis”.
https://t.co/a8QHR4P3Fe"
243,"Guess who rejoins the Paris climate agreement today?

We do!

Fight for climate justice, science, and innovation.

Help us register more Democrats!

 #RegisterDemocrats #Voterizer https://t.co/UUTD86wgsg"
